Vdd,Vdd18,VddIO,Idd_dsleep[mA],Idd18_dsleep[mA],IddIO_1.5V_dsleep[mA],Lot Bin Wafer,Part Number,Temp,Date
0.72,1.62,1.50,-0.353938,-0.355625,0.404437,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.80,1.50,-0.360250,-0.349438,0.410437,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.98,1.50,-0.349813,-0.288063,0.401313,P9KT98.AC_a_0,Q0128,25C,231205
0.80,1.62,1.50,-0.345750,-0.358125,0.451250,P9KT98.AC_a_0,Q0128,25C,231205
0.80,1.80,1.50,-0.344813,-0.342688,0.456125,P9KT98.AC_a_0,Q0128,25C,231205
0.80,1.98,1.50,-0.351438,-0.281375,0.440500,P9KT98.AC_a_0,Q0128,25C,231205
0.88,1.62,1.50,-0.339313,-0.367687,0.445000,P9KT98.AC_a_0,Q0128,25C,231205
0.88,1.80,1.50,-0.343563,-0.343563,0.469500,P9KT98.AC_a_0,Q0128,25C,231205
0.88,1.98,1.50,-0.343625,-0.296563,0.483250,P9KT98.AC_a_0,Q0128,25C,231205
