Vdd,Vdd18,VddIO,Idd_stby[mA],Idd18_stby[mA],IddIO_1.5V_stby[mA],Lot Bin Wafer,Part Number,Temp,Date
0.72,1.62,1.50,-0.314688,-0.264313,0.412875,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.80,1.50,-0.330188,-0.156125,0.411437,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.98,1.50,-0.326625,-0.010500,0.390875,P9KT98.AC_a_0,Q0128,25C,231205
0.80,1.62,1.50,-0.306312,-0.297875,0.449125,P9KT98.AC_a_0,Q0128,25C,231205
0.80,1.80,1.50,-0.304625,-0.199938,0.435562,P9KT98.AC_a_0,Q0128,25C,231205
0.80,1.98,1.50,-0.316125,-0.065812,0.436187,P9KT98.AC_a_0,Q0128,25C,231205
0.88,1.62,1.50,-0.285250,-0.319625,0.461687,P9KT98.AC_a_0,Q0128,25C,231205
0.88,1.80,1.50,-0.289250,-0.240688,0.445125,P9KT98.AC_a_0,Q0128,25C,231205
0.88,1.98,1.50,-0.296438,-0.108687,0.442625,P9KT98.AC_a_0,Q0128,25C,231205
