vdd,vdd18,vwl,vgen,bitline_leakage(uA),Vss(V),Vrbl(V),Instance,Lot Bin Wafer,Part Number,Temp,Date
0.92,2.07,0,0,0.468353,0.003739,0.332592,4,P9HK27_0i_03,P0019,-40C,231114
0.92,2.07,4,4,0.443473,0.003968,0.332363,4,P9HK27_0i_03,P0019,-40C,231114
0.92,2.07,8,8,0.435056,0.003968,0.331981,4,P9HK27_0i_03,P0019,-40C,231114
0.92,2.07,12,12,0.434871,0.003891,0.331981,4,P9HK27_0i_03,P0019,-40C,231114
0.92,2.07,16,16,0.435205,0.004044,0.332363,4,P9HK27_0i_03,P0019,-40C,231114
0.92,2.07,20,20,0.435562,0.003968,0.331981,4,P9HK27_0i_03,P0019,-40C,231114
0.92,2.07,24,24,0.435503,0.003968,0.332134,4,P9HK27_0i_03,P0019,-40C,231114
0.92,2.07,28,28,0.435592,0.004425,0.332439,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,0,0,0.332754,0.003891,0.279945,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,4,4,0.344527,0.003968,0.279792,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,8,8,0.343567,0.003891,0.279945,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,12,12,0.343704,0.003815,0.280097,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,16,16,0.343812,0.003968,0.279868,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,20,20,0.344134,0.004120,0.280174,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,24,24,0.344438,0.003891,0.279945,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,28,28,0.344813,0.003891,0.280021,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,0,0,0.261515,0.003739,0.208604,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,4,4,0.271470,0.003891,0.208452,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,8,8,0.259369,0.003891,0.208833,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,12,12,0.270886,0.003891,0.208528,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,16,16,0.270790,0.004502,0.208452,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,20,20,0.271243,0.003891,0.208680,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,24,24,0.270504,0.003968,0.208299,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,28,28,0.271535,0.004425,0.208757,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,0,0,0.248127,0.003891,0.177245,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,4,4,0.255888,0.003815,0.177398,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,8,8,0.255614,0.004120,0.176863,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,12,12,0.256096,0.004196,0.176940,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,16,16,0.255614,0.004120,0.177016,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,20,20,0.255608,0.003815,0.176711,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,24,24,0.255345,0.003891,0.177092,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,28,28,0.255137,0.003968,0.177016,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,0,0,0.243555,0.003815,0.170378,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,4,4,0.259226,0.004273,0.170530,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,8,8,0.258379,0.003815,0.171141,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,12,12,0.250863,0.003891,0.170683,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,16,16,0.250863,0.003968,0.170683,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,20,20,0.258856,0.004044,0.170988,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,24,24,0.258219,0.003891,0.170530,4,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,28,28,0.250738,0.003968,0.170912,4,P9HK27_0i_03,P0019,-40C,231114
0.9,2.07,0,0,0.422663,0.004044,0.332210,4,P9HK27_0i_03,P0019,-40C,231114
