Lot_Bin_Wafer,part,instance,temp,date,Data,ivdd18/bit,ivdd/bit,VWL,Vwl(meas),VBL,Vbl(meas),PRG_CNT,PRG_Time,Pulse1,Pulse2,Pulse3,Pulse4,Pulse5,Pulse6
P9HK26_0I_05,P0013,0,025C,210624,0xff:,161.1378,1,0x000c,2.9882,0x000c,1.4927,0x07,20,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,195.2724,1,0x000c,2.9882,0x000c,1.4927,0x09,25,0x000000db,0x00000004,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,161.1378,1,0x000c,2.9882,0x000c,1.4927,0x09,25,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,195.2724,1,0x000c,2.9882,0x000c,1.4927,0x0a,30,0x00000061,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,161.1378,1,0x000c,2.9882,0x000c,1.4927,0x0a,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,195.2724,1,0x000c,2.9882,0x000c,1.4927,0x0e,40,0x00000015,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,161.1378,1,0x000c,2.9882,0x000c,1.4927,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,195.2724,1,0x000c,2.9882,0x000c,1.4927,0x13,55,0x00000008,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,161.1378,1,0x000c,2.9882,0x000c,1.4927,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,190.2243,1,0x000c,2.9882,0x000d,1.4914,0x07,20,0x000000f0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,165.0641,1,0x000c,2.9882,0x000d,1.4914,0x07,20,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,190.2243,1,0x000c,2.9882,0x000d,1.4914,0x09,25,0x00000098,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,165.0641,1,0x000c,2.9882,0x000d,1.4914,0x09,25,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,190.2243,1,0x000c,2.9882,0x000d,1.4914,0x0a,30,0x00000033,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,165.0641,1,0x000c,2.9882,0x000d,1.4914,0x0a,30,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,190.2243,1,0x000c,2.9882,0x000d,1.4914,0x0e,40,0x0000000a,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,165.0641,1,0x000c,2.9882,0x000d,1.4914,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,190.2243,1,0x000c,2.9882,0x000d,1.4914,0x13,55,0x00000006,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,165.0641,1,0x000c,2.9882,0x000d,1.4914,0x13,55,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,197.9968,1,0x000c,2.9882,0x000e,1.4915,0x07,20,0x00000096,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,172.6763,1,0x000c,2.9882,0x000e,1.4915,0x07,20,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,197.9968,1,0x000c,2.9882,0x000e,1.4915,0x09,25,0x00000058,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,172.6763,1,0x000c,2.9882,0x000e,1.4915,0x09,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,197.9968,1,0x000c,2.9882,0x000e,1.4915,0x0a,30,0x00000021,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
