Vdd,Vdd18,VddIO,Idd_leak[mA],Idd18_leak[mA],IddIO_leak[mA],Lot Bin Wafer,Part Number,Temp,Date
0.72,1.62,1.50,-0.345813,-0.342438,0.437437,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.80,1.50,-0.342375,-0.310125,0.436687,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.98,1.50,-0.342625,-0.209813,0.444812,P9KT98.AC_a_0,Q0128,25C,231205
0.80,1.62,1.50,-0.332875,-0.354187,0.477000,P9KT98.AC_a_0,Q0128,25C,231205
0.80,1.80,1.50,-0.344500,-0.318813,0.496125,P9KT98.AC_a_0,Q0128,25C,231205
0.80,1.98,1.50,-0.342188,-0.208625,0.480125,P9KT98.AC_a_0,Q0128,25C,231205
0.88,1.62,1.50,-0.342937,-0.360688,0.472625,P9KT98.AC_a_0,Q0128,25C,231205
0.88,1.80,1.50,-0.339063,-0.320063,0.481562,P9KT98.AC_a_0,Q0128,25C,231205
0.88,1.98,1.50,-0.341875,-0.209500,0.502375,P9KT98.AC_a_0,Q0128,25C,231205
