Vdd,Vdd18,VddIO,Idd_leak[mA],Idd18_leak[mA],IddIO_leak[mA],Lot Bin Wafer,Part Number,Temp,Date
0.72,1.62,0.50,-0.342438,-0.326063,0.432562,P9KT98.AC_a_0,Q0128,25C,231207
0.80,1.80,0.50,-0.332625,-0.275500,0.479750,P9KT98.AC_a_0,Q0128,25C,231207
0.88,1.98,0.50,-0.328813,-0.140188,0.506688,P9KT98.AC_a_0,Q0128,25C,231207
0.72,1.62,0.50,-0.337938,-0.306500,0.537375,P9KT98.AC_a_0,Q0134,25C,231207
0.80,1.80,0.50,-0.331188,-0.263688,0.590500,P9KT98.AC_a_0,Q0134,25C,231207
0.88,1.98,0.50,-0.323188,-0.161813,0.604437,P9KT98.AC_a_0,Q0134,25C,231207
