Vdd,Vdd18,VddIO,Vdd Voltage,Vdd Current,Vdd18 Voltage,Vdd18 Current,VddIO Voltage,VddIO Current,Lot Bin Wafer,Part Number,Temp,Date
0.72,1.62,1.5,0.71976512,-5.9225023039e-08,1.6199479,4.0994621299999994e-05,1.5000824000000001,0.0009221628069999997,P9KT98.AC_a_0,Q0128,25C,231204
0.72,1.8,1.5,0.71973714,-7.2269459315e-08,1.8000962999999999,8.56476496e-05,1.5000549999999997,0.0009225094039999994,P9KT98.AC_a_0,Q0128,25C,231204
0.72,1.98,1.5,0.7197522700000001,-2.795744477999999e-08,1.9800166999999997,0.000205870952,1.5000943000000002,0.0009231153009999997,P9KT98.AC_a_0,Q0128,25C,231204
0.8,1.62,1.5,0.7993835199999999,5.8993863839999984e-08,1.619942,3.983540820000002e-05,1.5001291,0.000973806932,P9KT98.AC_a_0,Q0128,25C,231204
0.8,1.8,1.5,0.79938231,2.650276987e-08,1.8000941000000001,8.357329220000004e-05,1.5001199,0.000973621126,P9KT98.AC_a_0,Q0128,25C,231204
0.8,1.98,1.5,0.7993814599999999,1.6542599630000004e-08,1.9799860999999996,0.00020392897399999996,1.5000877999999997,0.0009739632129999999,P9KT98.AC_a_0,Q0128,25C,231204
0.88,1.62,1.5,0.8794828499999999,3.0042828399999986e-07,1.6199456,3.9034907299999995e-05,1.5001161,0.0010055977300000001,P9KT98.AC_a_0,Q0128,25C,231204
0.88,1.8,1.5,0.87949648,3.11054535e-07,1.800084,8.23947069e-05,1.5000889000000002,0.0010066927799999997,P9KT98.AC_a_0,Q0128,25C,231204
0.88,1.98,1.5,0.8794781799999999,3.2289516599999995e-07,1.9800139,0.00020242605999999997,1.5000811,0.00100615962,P9KT98.AC_a_0,Q0128,25C,231204
0.72,1.62,1.5,0.71975735,-4.500680499999998e-09,1.6199265999999999,5.761186000000001e-05,1.5000685999999999,0.000999528394,P9KT98.AC_a_0,Q0134,25C,231204
0.72,1.8,1.5,0.71970422,1.5382811895000005e-08,1.8000696,0.00011701395100000005,1.5000785,0.0009997593910000002,P9KT98.AC_a_0,Q0134,25C,231204
0.72,1.98,1.5,0.7197688299999999,6.6305024869999974e-09,1.9800014000000001,0.000239037742,1.5000708999999999,0.0009993905010000001,P9KT98.AC_a_0,Q0134,25C,231204
0.8,1.62,1.5,0.7993830300000001,1.01074061616e-07,1.6199424999999998,5.657604049999998e-05,1.5001226,0.0010530496400000004,P9KT98.AC_a_0,Q0134,25C,231204
0.8,1.8,1.5,0.7994084100000001,1.0224931590000002e-07,1.8001099999999997,0.00011551191599999997,1.5000730999999998,0.0010529332199999996,P9KT98.AC_a_0,Q0134,25C,231204
0.8,1.98,1.5,0.7993662400000001,8.091652726000002e-08,1.9800528,0.0002371840869999999,1.5000713,0.0010538346399999994,P9KT98.AC_a_0,Q0134,25C,231204
0.88,1.62,1.5,0.8795070700000001,3.2847449599999993e-07,1.6199659999999998,5.567168259999998e-05,1.5000594,0.0010907025800000003,P9KT98.AC_a_0,Q0134,25C,231204
0.88,1.8,1.5,0.8794985400000002,3.381440830000002e-07,1.8001174,0.00011382643800000006,1.5000793999999997,0.0010942719600000005,P9KT98.AC_a_0,Q0134,25C,231204
0.88,1.98,1.5,0.8794911599999999,3.09613288e-07,1.9800291,0.00023508303199999998,1.5000651,0.0010938429499999997,P9KT98.AC_a_0,Q0134,25C,231204
