Vdd,Vdd18,sys_osc_trim,sys_osc_target_freq[MHz],sys_clk_period[ns],sys_clk_freq[MHz],pre-bck_grd_iddr[mA],pre-bck_grd_idd18r[mA],Vreg_trm,read speed[ns],read-data,iddr[mA],idd18r[mA],Lot Bin Wafer,Part Number,Temp,Date
0.80,1.80,0x9f,200,5.041917,198.34,2.720063,4.007501,0x05,10.00,solid0x00,3.948127,3.888752,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.041917,198.34,2.720063,4.007501,0x05,10.00,solid0xff,4.186125,3.894125,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.020228,199.19,2.684501,3.986501,0x05,12.00,ckbd-0xaa,6.058938,3.894752,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.020228,199.19,2.684501,3.986501,0x05,12.00,solid0x00,4.101749,3.901751,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.020228,199.19,2.684501,3.986501,0x05,12.00,solid0xff,4.334626,3.907376,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.080973,196.81,2.663500,3.995625,0x07,4.00,ckbd-0xaa,5.525563,3.874501,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.080973,196.81,2.663500,3.995625,0x07,4.00,solid0x00,3.640313,3.873813,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.080973,196.81,2.663500,3.995625,0x07,4.00,solid0xff,3.853438,3.861251,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.009470,199.62,2.696687,3.982001,0x07,5.00,ckbd-0xaa,5.634252,3.860751,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.009470,199.62,2.696687,3.982001,0x07,5.00,solid0x00,3.686688,3.858439,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.009470,199.62,2.696687,3.982001,0x07,5.00,solid0xff,3.914376,3.868750,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,4.979596,200.82,2.691875,3.981563,0x07,10.00,ckbd-0xaa,6.017500,3.875438,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,4.979596,200.82,2.691875,3.981563,0x07,10.00,solid0x00,4.073001,3.866063,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,4.979596,200.82,2.691875,3.981563,0x07,10.00,solid0xff,4.296564,3.871751,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,4.961293,201.56,2.684938,3.966875,0x07,12.00,ckbd-0xaa,6.168625,3.879439,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,4.961293,201.56,2.684938,3.966875,0x07,12.00,solid0x00,4.218251,3.887064,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,4.961293,201.56,2.684938,3.966875,0x07,12.00,solid0xff,4.445000,3.890250,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.064730,197.44,2.668126,3.977502,0x09,4.00,ckbd-0xaa,5.573626,3.846126,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.064730,197.44,2.668126,3.977502,0x09,4.00,solid0x00,3.665251,3.847251,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.064730,197.44,2.668126,3.977502,0x09,4.00,solid0xff,3.886002,3.844689,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.067170,197.35,2.691314,3.981251,0x09,5.00,ckbd-0xaa,5.666813,3.850439,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.067170,197.35,2.691314,3.981251,0x09,5.00,solid0x00,3.726125,3.846876,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.067170,197.35,2.691314,3.981251,0x09,5.00,solid0xff,3.966189,3.862625,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.032508,198.71,2.710500,3.983688,0x09,10.00,ckbd-0xaa,6.114250,3.859938,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.032508,198.71,2.710500,3.983688,0x09,10.00,solid0x00,4.174939,3.863000,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.032508,198.71,2.710500,3.983688,0x09,10.00,solid0xff,4.400939,3.875437,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.044406,198.24,2.651501,3.967126,0x09,12.00,ckbd-0xaa,6.301375,3.870813,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.044406,198.24,2.651501,3.967126,0x09,12.00,solid0x00,4.352126,3.869939,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.044406,198.24,2.651501,3.967126,0x09,12.00,solid0xff,4.551188,3.872939,P9KT98.AC_a_0,Q0128,25C,231111
