Vdd,Vdd18,sys_osc_trim,sys_osc_target_freq[MHz],sys_clk_period[ns],sys_clk_freq[MHz],pre-bck_grd_iddr[mA],pre-bck_grd_idd18r[mA],Vreg_trm,read speed[ns],read-data,iddr[mA],idd18r[mA],Lot Bin Wafer,Part Number,Temp,Date
0.72,1.62,0x9f,200,4.973590,201.06,2.350250,3.288501,0x05,3.00,ckbd-0xaa,4.818752,3.190812,P9KT98.AC_a_0,Q0128,25C,231207
0.72,1.62,0x9f,200,4.973590,201.06,2.350250,3.288501,0x05,3.00,solid0x00,3.330312,3.193751,P9KT98.AC_a_0,Q0128,25C,231207
0.72,1.62,0x9f,200,4.973590,201.06,2.350250,3.288501,0x05,3.00,solid0xff,3.338439,3.195876,P9KT98.AC_a_0,Q0128,25C,231207
0.72,1.62,0x9f,200,4.989328,200.43,2.376625,3.311875,0x05,5.00,ckbd-0xaa,4.939252,3.204999,P9KT98.AC_a_0,Q0128,25C,231207
0.72,1.62,0x9f,200,4.989328,200.43,2.376625,3.311875,0x05,5.00,solid0x00,3.373688,3.191501,P9KT98.AC_a_0,Q0128,25C,231207
0.72,1.62,0x9f,200,4.989328,200.43,2.376625,3.311875,0x05,5.00,solid0xff,3.434752,3.199813,P9KT98.AC_a_0,Q0128,25C,231207
0.72,1.62,0x9f,200,4.973306,201.07,2.383875,3.317250,0x05,10.00,ckbd-0xaa,5.279377,3.211313,P9KT98.AC_a_0,Q0128,25C,231207
0.72,1.62,0x9f,200,4.973306,201.07,2.383875,3.317250,0x05,10.00,solid0x00,3.672626,3.208626,P9KT98.AC_a_0,Q0128,25C,231207
0.72,1.62,0x9f,200,4.973306,201.07,2.383875,3.317250,0x05,10.00,solid0xff,3.737751,3.223001,P9KT98.AC_a_0,Q0128,25C,231207
0.80,1.80,0x9f,200,5.067886,197.32,2.626938,4.003500,0x05,3.00,ckbd-0xaa,5.376626,3.886563,P9KT98.AC_a_0,Q0128,25C,231207
0.80,1.80,0x9f,200,5.067886,197.32,2.626938,4.003500,0x05,3.00,solid0x00,3.728251,3.891438,P9KT98.AC_a_0,Q0128,25C,231207
0.80,1.80,0x9f,200,5.067886,197.32,2.626938,4.003500,0x05,3.00,solid0xff,3.717376,3.891939,P9KT98.AC_a_0,Q0128,25C,231207
0.80,1.80,0x9f,200,5.080607,196.83,2.673375,4.003938,0x05,5.00,ckbd-0xaa,5.493314,3.896751,P9KT98.AC_a_0,Q0128,25C,231207
0.80,1.80,0x9f,200,5.080607,196.83,2.673375,4.003938,0x05,5.00,solid0x00,3.764937,3.897501,P9KT98.AC_a_0,Q0128,25C,231207
0.80,1.80,0x9f,200,5.080607,196.83,2.673375,4.003938,0x05,5.00,solid0xff,3.816938,3.899125,P9KT98.AC_a_0,Q0128,25C,231207
0.80,1.80,0x9f,200,5.079964,196.85,2.665813,4.020376,0x05,10.00,ckbd-0xaa,5.876813,3.920875,P9KT98.AC_a_0,Q0128,25C,231207
0.80,1.80,0x9f,200,5.079964,196.85,2.665813,4.020376,0x05,10.00,solid0x00,4.098188,3.909752,P9KT98.AC_a_0,Q0128,25C,231207
0.80,1.80,0x9f,200,5.079964,196.85,2.665813,4.020376,0x05,10.00,solid0xff,4.162376,3.910626,P9KT98.AC_a_0,Q0128,25C,231207
0.88,1.98,0x9f,200,5.041119,198.37,2.992001,4.739814,0x05,3.00,ckbd-0xaa,6.048812,4.620813,P9KT98.AC_a_0,Q0128,25C,231207
0.88,1.98,0x9f,200,5.041119,198.37,2.992001,4.739814,0x05,3.00,solid0x00,4.165313,4.629814,P9KT98.AC_a_0,Q0128,25C,231207
0.88,1.98,0x9f,200,5.041119,198.37,2.992001,4.739814,0x05,3.00,solid0xff,4.154439,4.622314,P9KT98.AC_a_0,Q0128,25C,231207
0.88,1.98,0x9f,200,5.065989,197.39,3.007125,4.752377,0x05,5.00,ckbd-0xaa,6.192125,4.637251,P9KT98.AC_a_0,Q0128,25C,231207
0.88,1.98,0x9f,200,5.065989,197.39,3.007125,4.752377,0x05,5.00,solid0x00,4.225876,4.631438,P9KT98.AC_a_0,Q0128,25C,231207
0.88,1.98,0x9f,200,5.065989,197.39,3.007125,4.752377,0x05,5.00,solid0xff,4.271626,4.627438,P9KT98.AC_a_0,Q0128,25C,231207
0.88,1.98,0x9f,200,5.009879,199.61,3.046563,4.751439,0x05,10.00,ckbd-0xaa,6.560812,4.644001,P9KT98.AC_a_0,Q0128,25C,231207
0.88,1.98,0x9f,200,5.009879,199.61,3.046563,4.751439,0x05,10.00,solid0x00,4.552126,4.645064,P9KT98.AC_a_0,Q0128,25C,231207
0.88,1.98,0x9f,200,5.009879,199.61,3.046563,4.751439,0x05,10.00,solid0xff,4.616189,4.637127,P9KT98.AC_a_0,Q0128,25C,231207
