# HEADER
# GIT REVISION: master
# HEADER
#< set_vdd   0.72
#< set_vddbl 1.62
#< pmu_reset
#< sleep 500
#< set_prg_vwl 0xd # Starting VWL
#< set_prg_vbl 0x13 # Starting VBL
#< vili_prg_shmoo 0 0x00 0 20 0x14 0xb 1 0
#>> 
PrgSmoo
Data ivdd18/bit ivdd/bit VWL Vwl(meas) VBL Vbl(meas) PRG_CNT PRG_Time Pulse1 Pulse2 Pulse3 Pulse4 Pulse5 Pulse6
0xff: 197.9167 3.7660 0x000b 2.0145 0x0012 1.1725 0x11 40 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 208.0128 2.4840 0x000b 2.0145 0x0012 1.1725 0x17 55 0x0000001a 0x0000000f 0x0000000e 0x0000000b 0x0000000a 0x0000000e
0xff: 197.9167 3.7660 0x000b 2.0145 0x0012 1.1725 0x17 55 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 202.5641 -0.2404 0x000b 2.0145 0x0014 1.2224 0x08 20 0x00000015 0x00000009 0x0000000b 0x0000000f 0x00000008 0x00000008
0xff: 195.9936 -3.4455 0x000b 2.0145 0x0014 1.2224 0x08 20 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 202.5641 -0.2404 0x000b 2.0145 0x0014 1.2224 0x0a 25 0x00000018 0x0000000c 0x0000000f 0x00000008 0x0000000d 0x0000000c
0xff: 195.9936 -3.4455 0x000b 2.0145 0x0014 1.2224 0x0a 25 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 202.5641 -0.2404 0x000b 2.0145 0x0014 1.2224 0x0d 30 0x00000018 0x0000000f 0x0000000d 0x00000010 0x0000000e 0x00000010
0xff: 195.9936 -3.4455 0x000b 2.0145 0x0014 1.2224 0x0d 30 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000000
0x00: 202.5641 -0.2404 0x000b 2.0145 0x0014 1.2224 0x11 40 0x0000001b 0x00000011 0x0000000c 0x0000000b 0x0000000b 0x0000000a
0xff: 195.9936 -3.4455 0x000b 2.0145 0x0014 1.2224 0x11 40 0x00000001 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 202.5641 -0.2404 0x000b 2.0145 0x0014 1.2224 0x17 55 0x00000013 0x00000011 0x0000000b 0x0000000e 0x0000000d 0x0000000c
0xff: 195.9936 -3.4455 0x000b 2.0145 0x0014 1.2224 0x17 55 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 192.9487 -0.1603 0x000b 2.0145 0x0016 1.2717 0x08 20 0x00000019 0x0000000b 0x0000000d 0x0000000f 0x0000000f 0x0000000d
0xff: 199.5192 1.1218 0x000b 2.0145 0x0016 1.2717 0x08 20 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 192.9487 -0.1603 0x000b 2.0145 0x0016 1.2717 0x0a 25 0x00000013 0x0000000b 0x0000000b 0x0000000c 0x0000000c 0x00000006
0xff: 199.5192 1.1218 0x000b 2.0145 0x0016 1.2717 0x0a 25 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 192.9487 -0.1603 0x000b 2.0145 0x0016 1.2717 0x0d 30 0x00000012 0x0000000a 0x00000009 0x0000000b 0x0000000e 0x0000000a
