Lot_Bin_Wafer,part,instance,temp,date,Data,ivdd18/bit,ivdd/bit,VWL,Vwl(meas),VBL,Vbl(meas),PRG_CNT,PRG_Time,Pulse1,Pulse2,Pulse3,Pulse4,Pulse5,Pulse6
P9HK26_0I_05,P0013,2,025C,210624,0x00:,187.0994,-3.0449,0x000c,2.9997,0x000c,1.4976,0x0e,40,0x0000005a,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,153.2853,-3.8462,0x000c,2.9997,0x000c,1.4976,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,187.0994,-3.0449,0x000c,2.9997,0x000c,1.4976,0x13,55,0x0000001e,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,153.2853,-3.8462,0x000c,2.9997,0x000c,1.4976,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,191.6667,-2.5641,0x000c,2.9997,0x000d,1.4962,0x07,20,0x00000133,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,160.0961,-1.4423,0x000c,2.9997,0x000d,1.4962,0x07,20,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,191.6667,-2.5641,0x000c,2.9997,0x000d,1.4962,0x09,25,0x000000b1,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,160.0961,-1.4423,0x000c,2.9997,0x000d,1.4962,0x09,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,191.6667,-2.5641,0x000c,2.9997,0x000d,1.4962,0x0b,30,0x00000070,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,160.0961,-1.4423,0x000c,2.9997,0x000d,1.4962,0x0b,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,191.6667,-2.5641,0x000c,2.9997,0x000d,1.4962,0x0e,40,0x0000002c,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,160.0961,-1.4423,0x000c,2.9997,0x000d,1.4962,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,191.6667,-2.5641,0x000c,2.9997,0x000d,1.4962,0x13,55,0x00000011,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,160.0961,-1.4423,0x000c,2.9997,0x000d,1.4962,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,196.6346,-0.3205,0x000c,2.9997,0x000e,1.4949,0x07,20,0x000000af,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,167.3878,-5.1282,0x000c,2.9997,0x000e,1.4949,0x07,20,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,196.6346,-0.3205,0x000c,2.9997,0x000e,1.4949,0x09,25,0x0000006f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,167.3878,-5.1282,0x000c,2.9997,0x000e,1.4949,0x09,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
